tokens,segmenter_one,segmenter_two,segmenter_three
laacijisa,l-a-cijis-a,l-a-cijis-a,la-cijis-a
laadala,l-a-dal-a,um-onakalo,la-dal-a
laadinga,l-a-ding-a,l-a-ding-a,la-ding-a
laafezeka,l-a-fezek-a,l-a-fezek-a,la-fezek-a
laafinyelela,l-a-finyelel-a,l-a-finyelel-a,la-finyelel-a
laafundela,l-a-fundel-a,l-a-fundel-a,la-fundel-a
laafundiswa,l-a-fundisw-a,l-a-fundisw-a,la-fundisw-a
laagcwala,l-a-gcwal-a,l-a-gcwal-a,la-gcwal-a
laaguqulwa,l-a-guqulw-a,l-a-guqulw-a,la-guqulw-a
laahlabeka,l-a-hlabek-a,l-a-hlabek-a,la-hlabek-a
laahlaziya,l-a-hlaziy-a,l-a-hlaziy-a,la-hlaziy-a
laahlongoza,l-a-hlongoz-a,l-a-hlongoz-a,la-hlongoz-a
laahlulela,l-a-hlulel-a,l-a-hlulel-a,la-hlulel-a
laakhala,l-a-khal-a,l-a-khal-a,la-khal-a
laalandela,l-a-landel-a,in-dlela,la-landel-a
laalimelela,l-a-limelel-a,l-a-limelel-a,la-limelel-a
laama,l-a-m-a,l-a-m-a,la-m-a
laamboza,l-a-mboz-a,l-a-mboz-a,la-mboz-a
laamemezela,l-a-memezel-a,l-a-memezel-a,la-memezel-a
laamukela,l-a-mukel-a,i-gama,la-mukel-a
laangcoliswa,l-a-ngcolisw-a,l-a-ngcolisw-a,la-ngcolisw-a
laanquma,l-a-nqum-a,l-a-nqum-a,la-nqum-a
laanyakazisa,l-a-nyakazis-a,l-a-nyakazis-a,la-nyakazis-a
laanyatheliswa,l-a-nyathelisw-a,l-a-nyathelisw-a,la-nyathelisw-a
laaphakamisa,l-a-phakamis-a,l-a-phakamis-a,la-phakamis-a
laaphawula,l-a-phawul-a,l-a-phawul-a,la-phawul-a
laaphuma,l-a-phum-a,l-a-phum-a,la-phum-a
laaqala,l-a-qala,l-a-qala,la-qala
laaqaphela,l-a-qaphel-a,l-a-qaphel-a,la-qaphel-a
laaqeda,l-a-qed-a,l-a-qed-a,la-qed-a
laaqina,l-a-qin-a,l-a-qin-a,la-qin-a
laaqiniseka,l-a-qinisek-a,l-a-qinisek-a,la-qinisek-a
laasetshenziswa,l-a-setshenzisw-a,l-a-setshenzisw-a,la-setshenzisw-a
laashintshwa,l-a-shintshw-a,l-a-shintshw-a,la-shintshw-a
laasikisela,l-a-sikisel-a,l-a-sikisel-a,la-sikisel-a
laasithibezwa,l-a-sithibezw-a,l-a-sithibezw-a,la-sithibezw-a
laasiza,l-a-siz-a,l-a-siz-a,la-siz-a
laasungulwa,l-a-sungulw-a,l-a-sungulw-a,la-sungulw-a
laasuswa,l-a-susw-a,l-a-susw-a,la-susw-a
laathinta,l-a-thint-a,l-a-thint-a,la-thint-a
laathola,l-a-thol-a,l-a-thol-a,la-thol-a
laathumela,l-a-thumel-a,l-a-thumel-a,la-thumel-a
laavalwa,l-a-valw-a,l-a-valw-a,la-valw-a
laavulelwa,l-a-vulelw-a,l-a-vulelw-a,la-vulelw-a
laavuma,l-a-vum-a,l-a-vum-a,la-vum-a
laawa,l-a-w-a,l-a-w-a,la-w-a
laaxosha,l-a-xosh-a,l-a-xosh-a,la-xosh-a
laayekwa,l-a-yekw-a,l-a-yekw-a,la-yekw-a
laazala,l-a-zal-a,l-a-zal-a,la-zal-a
labakhi,la-b-akhi,el-a-li-hlal-a,la-bakhi
lakheefundisa,la-khe-efundis-a,la-khe-efundis-a,la-khe-efundis-a
lalawo,la-la-wo,la-lawo,la-lawoa-balw-a
lalilokhu,l-a-li-lokhu,lali-lokhu-liba,lali-lokhu
lalinabamemezeli,l-a-li-n-a-ba-memezeli,bo-m-buso,lalina-bamemezeli
lalinezindiza,l-a-li-n-e-zindiza,ezi-sukel-a,laline-zindiza
lalingaba,l-a-li-ng-a-b-a,ama-phesenti,laling-a-b-a
laliphenya,l-a-li-pheny-a,ngo-ku-qashw-a,la-li-pheny-a
lalisemzileni,l-a-li-s-e-mzil-eni,o-y-in-hloko,lali-s-emzileni
laliyinhloko,l-a-li-y-i-n-hloko,lali-y-in-hloko-dolobha,laliy-inhloko
lamasokisi,la-ma-sokisi,la-ma-sokisi,la-masokisia-bhubhuzel-a
lamasundu,la-ma-sundu,lali-s-emzil-eni,la-masundu
lamavesi,la-ma-vesi,la-ma-vesi,la-mavesia-ku-vez-a
landa,l-and-a,phakathi,land-a
lashintsha,l-a-shintsh-a,l-a-shintsh-a-waba,la-shintsh-a
leli,leli,leli-qembu,leli
lelo,le-lo,lelo-banga,lelo
lembule,l-embul-e,l-embul-e,imicabango
lenkemba,le-nkemba,le-nkemba,le-nkembak-eph-a
libhekiswe,li-bhekisw-e,li-bhekisw-e-ngqo,li-bhekisw-e
libike,li-bik-e,li-bik-e-lathi,li-bik-e
licekele,li-cekel-e,phansi,li-cekel-e
lifanele,li-fanel-e,impela,li-fanel-e
ligijimise,li-gijimis-e,o-ko-m-bani,li-gijimis-e
lihoshe,li-hosh-e,uku-thi,li-hosh-e
likhale,li-khal-e,ngo-ku-xinek-a,li-khal-e
likhombisa,li-khombis-a,ku-phela,li-khombis-a
likhuluma,li-khulum-a,nge-zwi,li-khulum-a
lima,li-m-a,umu-gqa,li-m-a
limema,li-mem-a,li-mem-a,bonke
linabalandeli,li-n-a-ba-landeli,a-ba-ningi,lina-balandeli
LinearizedA,LinearizedB,LinearizedC,LinearizedD
linehholo,li-n-e-hholo,lo-m-buso,line-hholo
lingenza,li-ng-enz-a,ka-ngcono,li-ng-enz-a
lipha,li-ph-a,umu-ntu,li-ph-a
liphuza,li-phuz-a,li-phuz-a,li-phuz-ab-es-e
liqinisekisa,li-qinisekis-a,isi-phetho,li-qinisekis-a
lisemaphandleni,li-s-e-ma-phandl-eni,lapho,lis-ema-phandleni
lisetshenziselwa,li-setshenziselw-a,u-suku,li-setshenziselw-a
lishaywa,li-shayw-a,nje,li-shayw-a
lithakazelisa,li-thakazelis-a,kakhulu,li-thakazelis-a
lithukuthele,li-thukuthel-e,li-thukuthel-e-kwazulu,lithukuthel-e
liyokwyokwamukelwa,li-yo-kw-amukelw-a,li-yokw-amukelw-a,liyokw-amukelw-a
liyoyophuma,li-yo-phum-a,li-yo-phum-a,liyo-phum-a
liyoyosiza,li-yo-siz-a,li-yo-siz-a,liyo-siz-a
liyoyothatha,li-yo-thath-a,li-yo-thath-a,liyo-thath-a
lizimisele,li-zi-misel-e,nge-m-pela,li-zi-misel-e
lizoyiqhubela,li-zo-yi-qhubel-a,phambili,lizo-yi-qhubel-a
lizozosiza,li-zo-siz-a,li-zo-siz-a,lizo-siz-a
lizungezwe,li-zungezw-e,izi-hlahla,li-zungezw-e
lokishi,lokishi,i-y-intombazane,lokishi
lokucindezelwa,lo-ku-cindezelw-a,imi-thetho,lo-ku-cindezelw-a
lokunyakazisa,lo-ku-nyakazis-a,um-zimba,lo-ku-nyakazis-a
lokuzikhethela,lo-ku-zi-khethel-a,lo-ku-zi-khethel-a,lo-ku-zi-khethel-ak-on-a
lolo,lo-lo,lolo-hambo,lolo
lolu,lolu,lolu-hlu,lolu
lombusi,lo-m-busi,lo-m-busi,lo-mbusin-om-a
lommeli,lo-m-meli,lo-m-meli,lo-mmeli
lufakazela,lu-fakazel-a,uku-thi,lu-fakazel-a
luhlinzeka,lu-hlinzek-a,nga-ma-gugu,lu-hlinzek-a
lulandela,lu-landel-a,u-limi,lu-landel-a
lungelo,lungelo,la-khe,lungelo
lungiselelo,lungiselelo,le-s-ahlukaniso,lungiselelo
luphenywa,lu-phenyw-a,nga-ma-phoyisa,lu-phenyw-a
luqondene,lu-qonden-e,no-ku-hlinzek-a,lu-qonden-e
luthatha,lu-thath-a,i-qhaza,lu-thath-a
luvuleke,lu-vulek-e,lu-vulek-e,ngo-ku-shesh-a
luyichibi,lu-y-i-chibi,eli-na-ma-nzi,luy-ichibi
luyindlala,lu-y-i-ndlala,namuhla,luy-indlala
luyoyosibekela,lu-yo-sibekel-a,lu-yo-sibekel-a,luyo-sibekel-a
luzobizwa,lu-zo-bizw-a,lu-zo-bizw-a-ngethe,luzo-bizw-a
luzohamba,lu-zo-hamb-a,phambili,luzo-hamb-a
luzokwenziwa,lu-zo-kw-enziw-a,nga-zo,luzokw-enziw-a
lwaabangela,lw-a-bangel-a,lw-a-bangel-a,lwa-bangel-a
lwaabonisa,lw-a-bonis-a,lw-a-bonis-a,lwa-bonis-a
lwaabulala,lw-a-bulal-a,lw-a-bulal-a,lwa-bulal-a
lwaafika,lw-a-fik-a,lw-a-fik-a,lwa-fik-a
lwaafinyelela,lw-a-finyelel-a,lw-a-finyelel-a,lwa-finyelel-a
lwaagcizelela,lw-a-gcizelel-a,lw-a-gcizelel-a,lwa-gcizelel-a
lwaagwinywa,lw-a-gwinyw-a,lw-a-gwinyw-a,lwa-gwinyw-a
lwaahlanza,lw-a-hlanz-a,lw-a-hlanz-a,lwa-hlanz-a
lwaahlola,lw-a-hlol-a,lw-a-hlol-a,lwa-hlol-a
lwaalondoloza,lw-a-londoloz-a,lw-a-londoloz-a,lwa-londoloz-a
lwaama,lw-a-m-a,lw-a-m-a,lwa-m-a
lwaamukelwa,lw-a-mukelw-a,lw-a-mukelw-a,lwa-mukelw-a
lwaanikeza,lw-a-nikez-a,lw-a-nikez-a,lwa-nikez-a
lwaanqamuka,lw-a-nqamuk-a,lw-a-nqamuk-a,lwa-nqamuk-a
lwaaqala,lw-a-qala,lw-a-qala,lwa-qala
lwaaqhathanisa,lw-a-qhathanis-a,lw-a-qhathanis-a,lwa-qhathanis-a
lwaashukumisa,lw-a-shukumis-a,lw-a-shukumis-a,lwa-shukumis-a
lwaasiza,lw-a-siz-a,lw-a-siz-a,lwa-siz-a
lwaathi,lw-a-thi,lw-a-thi,lwa-thi
lwaathola,lw-a-thol-a,lw-a-thol-a,lwa-thol-a
lwaaveza,lw-a-vez-a,lw-a-vez-a,lwa-vez-a
lwaazuzisa,lw-a-zuzis-a,lw-a-zuzis-a,lwa-zuzis-a
lwakhelwe,lw-akhelw-e,uku-thuthukis-a,lwakhelw-e
lwaleli,lwa-leli,lwa-leli-dolobha,lwa-leli
lwandle,lwandle,lu-y-i-chibi,lwandle
lwenkinga,lwe-n-kinga,lwe-n-kinga-hhayi,lwe-nkinga
lwesifo,lwe-si-fo,sika-shukela,lwe-sifo
lwesikhungo,lwe-si-khungo,a-lu-ding-i,lwe-sikhungo
maafrika,ma-afrika,ma-afrika,maafrika
maanda,m-a-and-a,m-a-and-a,m-a-and-a
magugu,ma-gugu,ma-gugu,magugua-wa-thol-a
mama,mama,w-a-thi,mama
masipala,masipala,y-a-vot-a,masipala
meyiwa,m-eyiw-a,m-eyiw-a,ohlal-a
mmeli,m-meli,m-meli,mmeli
naabulungisa,n-a-bulungis-a,n-a-bulungis-a,na-bulungis-a
naabutha,n-a-buth-a,n-a-buth-a,na-buth-a
naafa,n-a-f-a,n-a-f-a,na-f-a
naakhetha,n-a-kheth-a,n-a-kheth-a,na-kheth-a
naakhonza,n-a-khonz-a,n-a-khonz-a,na-khonz-a
naanikeza,n-a-nikez-a,n-a-nikez-a,na-nikez-a
naasikisela,n-a-sikisel-a,n-a-sikisel-a,na-sikisel-a
nakha,n-akh-a,n-akh-a,amathuna
nalowoyocelayo,na-lo-wo-ocel-a-yo,na-lowo-ocel-a-yo,na-lowo-ocel-a-yo
namagugu,n-a-ma-gugu,na-ma-gugu,na-magugua-fan-a
namalunga,na-ma-lunga,na-ma-lunga,na-malungaa-w-a
namaphuphoyesabekayo,na-ma-phupho-esabek-a-yo,na-ma-phupho-esabek-a-yo,na-maphupho-esabek-a-yo
namaqembu,na-ma-qembu,na-ma-qembu,na-maqembua-holw-a
namathonyayonakalisayo,na-ma-thonya-onakalis-a-yo,na-ma-thonya-onakalis-a-yo,na-mathonya-onakalis-a-yo
nawoeye,na-wo-ey-e,na-wo-ey-e,na-wo-ey-ea-nxus-a
ncintiswano,ncintiswano,wawu-hlelw-e,ncintiswano
ndimimbili,ndimimbili,a-ng-ab-i,ndimimbili
nelungiselelo,n-e-lungiselelo,ne-lungiselelo,lo-ku-sindis-a
nenyongo,n-e-nyongo,ne-nyongo,ne-nyongok-eph-a
nesitsha,n-e-si-tsha,ne-si-tsha,ne-sitshak-eph-a
neyayo,n-ey-a-yo,n-ey-a-yo,ya-landel-a
nga,nga,la-wo,nga
ngaabala,ng-a-bal-a,ng-a-bal-a,nga-bal-a
ngaabeka,ng-a-bek-a,ng-a-bek-a,nga-bek-a
ngaabhalela,ng-a-bhalel-a,ng-a-bhalel-a,nga-bhalel-a
ngaabhalisa,ng-a-bhalis-a,ng-a-bhalis-a,nga-bhalis-a
ngaabheka,ng-a-bhek-a,ng-a-bhek-a,nga-bhek-a
ngaabizela,ng-a-bizel-a,ng-a-bizel-a,nga-bizel-a
ngaabona,ng-a-bon-a,ng-a-bon-a,nga-bon-a
ngaabonakalisa,ng-a-bonakalis-a,ng-a-bonakalis-a,nga-bonakalis-a
ngaabonisa,ng-a-bonis-a,ng-a-bonis-a,nga-bonis-a
ngaabuza,ng-a-buz-a,ng-a-buz-a,nga-buz-a
ngaacabanga,ng-a-cabang-a,ng-a-cabang-a,nga-cabang-a
ngaacela,ng-a-cel-a,ng-a-cel-a,nga-cel-a
ngaacelwa,ng-a-celw-a,ng-a-celw-a,nga-celw-a
ngaachaza,ng-a-chaz-a,ng-a-chaz-a,nga-chaz-a
ngaachitha,ng-a-chith-a,ng-a-chith-a,nga-chith-a
ngaacindezeleka,ng-a-cindezelek-a,ng-a-cindezelek-a,nga-cindezelek-a
ngaacinga,ng-a-cing-a,ng-a-cing-a,nga-cing-a
ngaadonsa,ng-a-dons-a,ng-a-dons-a,nga-dons-a
ngaafaka,ng-a-fak-a,ng-a-fak-a,nga-fak-a
ngaafuna,ng-a-fun-a,ng-a-fun-a,nga-fun-a
ngaafunda,ng-a-fund-a,ng-a-fund-a,nga-fund-a
ngaafundela,ng-a-fundel-a,ng-a-fundel-a,nga-fundel-a
ngaafundisa,ng-a-fundis-a,ng-a-fundis-a,nga-fundis-a
ngaafundiswa,ng-a-fundisw-a,ng-a-fundisw-a,nga-fundisw-a
ngaagunda,ng-a-gund-a,ng-a-gund-a,nga-gund-a
ngaagxilisa,ng-a-gxilis-a,ng-a-gxilis-a,nga-gxilis-a
ngaahlala,ng-a-hlal-a,ng-a-hlal-a,nga-hlal-a
ngaahlangana,ng-a-hlangan-a,ng-a-hlangan-a,nga-hlangan-a
ngaahlanganyela,ng-a-hlanganyel-a,ng-a-hlanganyel-a,nga-hlanganyel-a
ngaahlatshwa,ng-a-hlatshw-a,ng-a-hlatshw-a,nga-hlatshw-a
ngaahlela,ng-a-hlel-a,ng-a-hlel-a,nga-hlel-a
ngaahlola,ng-a-hlol-a,ng-a-hlol-a,nga-hlol-a
ngaahluthulela,ng-a-hluthulel-a,ng-a-hluthulel-a,nga-hluthulel-a
ngaajabulela,ng-a-jabulel-a,ng-a-jabulel-a,nga-jabulel-a
ngaajoyina,ng-a-joyin-a,ng-a-joyin-a,nga-joyin-a
ngaakha,ng-a-kh-a,ng-a-kh-a,nga-kh-a
ngaakhala,ng-a-khal-a,ng-a-khal-a,nga-khal-a
ngaakhathazwa,ng-a-khathazw-a,ng-a-khathazw-a,nga-khathazw-a
ngaakhethwa,ng-a-khethw-a,ng-a-khethw-a,nga-khethw-a
ngaakhipha,ng-a-khiph-a,ng-a-khiph-a,nga-khiph-a
ngaakhonza,ng-a-khonz-a,ng-a-khonz-a,nga-khonz-a
ngaakhulisa,ng-a-khulis-a,ng-a-khulis-a,nga-khulis-a
ngaakhuliswa,ng-a-khulisw-a,ng-a-khulisw-a,nga-khulisw-a
ngaakhululeka,ng-a-khululek-a,ng-a-khululek-a,nga-khululek-a
ngaakhumbula,ng-a-khumbul-a,ng-a-khumbul-a,nga-khumbul-a
ngaalahlekelwa,ng-a-lahlekelw-a,ng-a-lahlekelw-a,nga-lahlekelw-a
ngaalaliswa,ng-a-lalisw-a,ng-a-lalisw-a,nga-lalisw-a
ngaalanda,ng-a-land-a,ng-a-land-a,nga-land-a
ngaalendlela,ng-a-lendlel-a,ng-a-lendlel-a,nga-lendlel-a
ngaalobela,ng-a-lobel-a,ng-a-lobel-a,nga-lobel-a
ngaamangala,ng-a-mangal-a,ng-a-mangal-a,nga-mangal-a
ngaamiswa,ng-a-misw-a,ng-a-misw-a,nga-misw-a
ngaamukela,ng-a-mukel-a,ng-a-mukel-a,nga-mukel-a
ngaamukelwa,ng-a-mukelw-a,ng-a-mukelw-a,nga-mukelw-a
ngaangenela,ng-a-ngenel-a,ng-a-ngenel-a,nga-ngenel-a
ngaanikezwa,ng-a-nikezw-a,ng-a-nikezw-a,nga-nikezw-a
ngaanqoba,ng-a-nqob-a,ng-a-nqob-a,nga-nqob-a
ngaanquma,ng-a-nqum-a,ng-a-nqum-a,nga-nqum-a
ngaanxusa,ng-a-nxus-a,ng-a-nxus-a,nga-nxus-a
ngaaphathwa,ng-a-phathw-a,ng-a-phathw-a,nga-phathw-a
ngaaphawula,ng-a-phawul-a,ng-a-phawul-a,nga-phawul-a
ngaaphazamisa,ng-a-phazamis-a,ng-a-phazamis-a,nga-phazamis-a
ngaaphelelwa,ng-a-phelelw-a,ng-a-phelelw-a,nga-phelelw-a
ngaaphenduka,ng-a-phenduk-a,ng-a-phenduk-a,nga-phenduk-a
ngaaphishekela,ng-a-phishekel-a,ng-a-phishekel-a,nga-phishekel-a
ngaaphuthwa,ng-a-phuthw-a,ng-a-phuthw-a,nga-phuthw-a
ngaaqala,ng-a-qala,ng-a-qala,nga-qala
ngaaqalisa,ng-a-qalis-a,ng-a-qalis-a,nga-qalis-a
ngaaqaphela,ng-a-qaphel-a,ng-a-qaphel-a,nga-qaphel-a
ngaaqeda,ng-a-qed-a,ng-a-qed-a,nga-qed-a
ngaaqeqeshwa,ng-a-qeqeshw-a,ng-a-qeqeshw-a,nga-qeqeshw-a
ngaaqhuba,ng-a-qhub-a,ng-a-qhub-a,nga-qhub-a
ngaaqikelela,ng-a-qikelel-a,ng-a-qikelel-a,nga-qikelel-a
ngaaqoma,ng-a-qom-a,ng-a-qom-a,nga-qom-a
ngaaqonda,ng-a-qond-a,ng-a-qond-a,nga-qond-a
ngaaqunga,ng-a-qung-a,ng-a-qung-a,nga-qung-a
ngaasebenzela,ng-a-sebenzel-a,ng-a-sebenzel-a,nga-sebenzel-a
ngaashikashikeka,ng-a-shikashikek-a,ng-a-shikashikek-a,nga-shikashikek-a
ngaashiya,ng-a-shiy-a,ng-a-shiy-a,nga-shiy-a
ngaashushisa,ng-a-shushis-a,ng-a-shushis-a,nga-shushis-a
ngaasiza,ng-a-siz-a,ng-a-siz-a,nga-siz-a
ngaasizwa,ng-a-sizw-a,ng-a-sizw-a,nga-sizw-a
ngaathatha,ng-a-thath-a,ng-a-thath-a,nga-thath-a
ngaathenga,ng-a-theng-a,ng-a-theng-a,nga-theng-a
ngaathi,ng-a-thi,ng-a-thi,nga-thi
ngaathola,ng-a-thol-a,ng-a-thol-a,nga-thol-a
ngaathulula,ng-a-thulul-a,ng-a-thulul-a,nga-thulul-a
ngaathumela,ng-a-thumel-a,ng-a-thumel-a,nga-thumel-a
ngaatshela,ng-a-tshel-a,ng-a-tshel-a,nga-tshel-a
ngaatshelwa,ng-a-tshelw-a,ng-a-tshelw-a,nga-tshelw-a
ngaavakashela,ng-a-vakashel-a,ng-a-vakashel-a,nga-vakashel-a
ngaavelelwa,ng-a-velelw-a,ng-a-velelw-a,nga-velelw-a
ngaavivinya,ng-a-viviny-a,ng-a-viviny-a,nga-viviny-a
ngaavula,ng-a-vul-a,ng-a-vul-a,nga-vul-a
ngaavuma,ng-a-vum-a,ng-a-vum-a,nga-vum-a
ngaayeka,ng-a-yek-a,ng-a-yek-a,nga-yek-a
ngaayona,ng-a-yon-a,ng-a-yon-a,nga-yon-a
ngaazama,ng-a-zam-a,ng-a-zam-a,nga-zam-a
ngaazibekela,ng-a-zibekel-a,ng-a-zibekel-a,nga-zibekel-a
ngaazwisa,ng-a-zwis-a,ng-a-zwis-a,nga-zwis-a
ngabayabongayo,ng-aba-bong-a-yo,ng-aba-bong-a-yo,ng-aba-bong-a-yo
ngabayagulayo,ng-aba-gul-a-yo,ng-aba-gul-a-yo,ng-aba-gul-a-yo
ngabayalalayo,ng-aba-lal-a-yo,ng-aba-lal-a-yo,ng-aba-lal-a-yo
ngabayaphilayo,ng-aba-phil-a-yo,ng-aba-phil-a-yo,ng-aba-phil-a-yo
ngabayathandekayo,ng-aba-thandek-a-yo,ng-aba-thandek-a-yo,ng-aba-thandek-a-yo
ngabayavilaphayo,ng-aba-vilaph-a-yo,ng-aba-vilaph-a-yo,ng-aba-vilaph-a-yo
ngakube,ng-a-ku-b-e,ng-a-ku-b-e-kade,ng-aku-b-e
ngaleli,nga-leli,nga-leli-lungiselelo,nga-leli
ngalolo,nga-lo-lo,nga-lolo-daba,nga-lolo
ngamabhasi,nga-ma-bhasi,nga-ma-bhasi,nga-mabhasin-om-a
ngamabhola,nga-ma-bhola,nga-ma-bhola,nga-mabholaa-hamb-a
ngamagugu,nga-ma-gugu,o-ku-zalanis-a,nga-magugu
ngamakhefu,nga-ma-khefu,nga-ma-khefu,nga-makhefun-om-a
ngamakhethini,nga-ma-khethini,nga-ma-khethini,nga-makhethinin-om-a
ngamananiyandayo,nga-ma-nani-and-a-yo,nga-ma-nani-and-a-yo,nga-manani-and-a-yo
ngamaza,nga-ma-za,nga-ma-za,nga-mazak-eph-a
ngammema,ng-a-m-mem-a,ng-a-m-mem-a,nga-m-mem-a
ngasezimvwini,ng-a-s-e-zi-m-v-wini,ng-a-s-ezim-v-wini,ng-as-ezimvwinin-om-a
ngazazisa,ng-a-zazis-a,ng-a-zazis-a-hhayi,nga-zazis-a
ngenkomba,ng-e-n-komba,nge-n-komba,ya-kho
ngenzela,ng-enzel-a,ng-enzel-a,imali
ngesivimbo,ng-e-si-vimbo,nge-si-vimbo,a-lind-e
ngeyama,ng-eyam-a,ng-eyam-a,ndwandwe
ngeyaqondayo,ng-e-qond-a-yo,ng-e-qond-a-yo,ng-e-qond-a-yo
ngezikebhe,ng-e-zi-kebhe,nge-zi-kebhe-nako,nge-zikebhe
ngezingahlanzekile,ng-ezi-nga-hlanzek-ile,ng-ezi-nga-hlanzek-ile,ng-ezinga-hlanzek-ilen-om-a
ngezinhlaka,ng-e-zin-hlaka,lapho,nge-zinhlaka
ngeziningi,ng-e-zi-ningi,ng-e-zi-ningi,ng-ezi-ningik-eph-a
ngezinqola,ng-e-zinqola,nge-zinqola,ezidonsw-a
ngihlole,ngi-hlol-e,ngi-hlol-e-nkulunkulu,ngi-hlol-e
ngikuhaqe,ngi-ku-haq-e,ngi-ku-haq-e-nxazonke,ngi-ku-haq-e
ngimmukise,ngi-m-mukis-e,ngi-m-mukis-e,ngi-m-mukis-e
nginikhululele,ngi-ni-khululel-e,ngi-ni-khululel-e-bani,ngi-ni-khululel-e
nginivuse,ngi-ni-vus-e,ngo-ku-ni-khumbuz-a,ngi-ni-vus-e
ngiyaazi,ngi-y-a-azi,ngi-y-a-azi,ngi-y-a-azi
ngiyakunxusa,ngi-ya-ku-nxus-a,ngi-ya-ku-nxus-a-nkosikazi,ngiya-ku-nxus-a
ngiyakuphakamisa,ngi-ya-ku-phakamis-a,ngi-ya-ku-phakamis-a-jehova,ngiya-ku-phakamis-a
ngiyokwyokwenza,ngi-yo-kw-enz-a,ngi-yokw-enz-a,ngiyokw-enz-a
ngiyoyofuna,ngi-yo-fun-a,ngi-yo-fun-a,ngiyo-fun-a
ngiyoyokhothoza,ngi-yo-khothoz-a,ngi-yo-khothoz-a,ngiyo-khothoz-a
ngiyoyolanda,ngi-yo-land-a,ngi-yo-land-a,ngiyo-land-a
ngiyoyomisa,ngi-yo-mis-a,ngi-yo-mis-a,ngiyo-mis-a
ngiyoyonxusa,ngi-yo-nxus-a,ngi-yo-nxus-a,ngiyo-nxus-a
ngiyoyoyeka,ngi-yo-yek-a,ngi-yo-yek-a,ngiyo-yek-a
ngizokwzokwenza,ngi-zo-kw-enz-a,ngi-zokw-enz-a,ngizokw-enz-a
ngizothula,ngi-zo-thul-a,ngi-zo-thul-a-mama,ngizo-thul-a
ngizoza,ngi-zo-z-a,ngi-zo-z-a-kusasa,ngizo-z-a
ngizozobonisa,ngi-zo-bonis-a,ngi-zo-bonis-a,ngizo-bonis-a
ngizozobuyisela,ngi-zo-buyisel-a,ngi-zo-buyisel-a,ngizo-buyisel-a
ngizozodiliza,ngi-zo-diliz-a,ngi-zo-diliz-a,ngizo-diliz-a
ngizozolinda,ngi-zo-lind-a,ngi-zo-lind-a,ngizo-lind-a
ngizozolingeka,ngi-zo-lingek-a,ngi-zo-lingek-a,ngizo-lingek-a
ngizozophatha,ngi-zo-phath-a,ngi-zo-phath-a,ngizo-phath-a
ngizozoshaya,ngi-zo-shay-a,ngi-zo-shay-a,ngizo-shay-a
ngokobugebengu,ng-o-ko-bu-gebengu,ng-o-ko-bu-gebengu-kumbe,ng-oko-bugebengu
ngokohlanga,ng-o-ko-hlanga,ng-o-ko-hlanga,ng-oko-hlangan-om-a
ngokuhlasela,ng-o-ku-hlasel-a,ngo-ku-hlasel-a,kwa-wo
ngokumuka,ng-o-ku-muk-a,ngo-ku-muk-a,ngo-ku-muk-akw-akh-e
ngokunemba,ng-o-ku-nemb-a,ngo-ku-nemb-a,ngo-ku-nemb-an-om-a
ngokungathathi,ng-o-ku-nga-thath-i,ngo-ku-nga-thath-i-hlangothi,ngo-ku-nga-thath-i
ngokuningilizwe,ng-o-ku-ningilizw-e,ngo-ku-ningilizw-e,ka-ngaka
ngokuvamileenza,ng-o-ku-vam-ile-enz-a,ngo-ku-vam-ile-enz-a,ngo-ku-vam-ile-enz-a
ngokuxineka,ng-o-ku-xinek-a,kwa-lo,ngo-ku-xinek-a
ngokuyabenyezelayo,ng-oku-benyezel-a-yo,ng-oku-benyezel-a-yo,ng-oku-benyezel-a-yo
ngokuyabonakalayo,ng-oku-bonakal-a-yo,ng-oku-bonakal-a-yo,ng-oku-bonakal-a-yo
ngokuyachichimayo,ng-oku-chichim-a-yo,ng-oku-chichim-a-yo,ng-oku-chichim-a-yo
ngokuyadabukisayo,ng-oku-dabukis-a-yo,ng-oku-dabukis-a-yo,ng-oku-dabukis-a-yo
ngokuyadidayo,ng-oku-did-a-yo,ng-oku-did-a-yo,ng-oku-did-a-yo
ngokuyaduduzayo,ng-oku-duduz-a-yo,ng-oku-duduz-a-yo,ng-oku-duduz-a-yo
ngokuyafanayo,ng-oku-fan-a-yo,ng-oku-fan-a-yo,ng-oku-fan-a-yo
ngokuyagcizelelayo,ng-oku-gcizelel-a-yo,ng-oku-gcizelel-a-yo,ng-oku-gcizelel-a-yo
ngokuyagculisayo,ng-oku-gculis-a-yo,ng-oku-gculis-a-yo,ng-oku-gculis-a-yo
ngokuyahlekisayo,ng-oku-hlekis-a-yo,ng-oku-hlekis-a-yo,ng-oku-hlekis-a-yo
ngokuyajabulisayo,ng-oku-jabulis-a-yo,ng-oku-jabulis-a-yo,ng-oku-jabulis-a-yo
ngokuyakhanyayo,ng-oku-khany-a-yo,ng-oku-khany-a-yo,ng-oku-khany-a-yo
ngokuyakhazimulayo,ng-oku-khazimul-a-yo,ng-oku-khazimul-a-yo,ng-oku-khazimul-a-yo
ngokuyalandelayo,ng-oku-landel-a-yo,ng-oku-landel-a-yo,ng-oku-landel-a-yo
ngokuyalinganayo,ng-oku-lingan-a-yo,ng-oku-lingan-a-yo,ng-oku-lingan-a-yo
